,school,sex,age,mother's_education,father's_education,reason,study_time,family_support,extra_classes,higher,G1,G2,G3,subject,study_x_mother's_education,study_x_father's_education
335,Gabriel Peireira,Female,17,Secondary,Post-Secondary,course,5-10 hr,no,no,yes,16,15,15,Math,5-10 hr X Secondary,5-10 hr X Post-Secondary
336,Gabriel Peireira,Female,19,Secondary,Primary,home,5-10 hr,no,yes,yes,14,13,13,Math,5-10 hr X Secondary,5-10 hr X Primary
337,Gabriel Peireira,Female,17,Secondary,Grade 5-9,home,2-5 hr,yes,yes,yes,7,8,0,Math,2-5 hr X Secondary,2-5 hr X Grade 5-9
338,Gabriel Peireira,Female,18,Secondary,Secondary,home,>10 hr,yes,no,yes,16,15,17,Math,>10 hr X Secondary,>10 hr X Secondary
339,Gabriel Peireira,Female,17,Secondary,Grade 5-9,home,2-5 hr,yes,yes,yes,9,10,10,Math,2-5 hr X Secondary,2-5 hr X Grade 5-9
340,Gabriel Peireira,Female,19,Grade 5-9,Primary,home,5-10 hr,no,yes,yes,11,12,11,Math,5-10 hr X Grade 5-9,5-10 hr X Primary
341,Gabriel Peireira,Male,18,Post-Secondary,Post-Secondary,home,2-5 hr,yes,no,yes,10,10,0,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
342,Gabriel Peireira,Male,18,Secondary,Post-Secondary,home,2-5 hr,no,no,yes,16,15,15,Math,2-5 hr X Secondary,2-5 hr X Post-Secondary
343,Gabriel Peireira,Female,17,Grade 5-9,Grade 5-9,home,2-5 hr,yes,no,yes,9,8,0,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
344,Gabriel Peireira,Female,18,Grade 5-9,Secondary,course,5-10 hr,yes,no,yes,11,10,10,Math,5-10 hr X Grade 5-9,5-10 hr X Secondary
345,Gabriel Peireira,Female,18,Secondary,Grade 5-9,other,5-10 hr,no,no,yes,13,13,14,Math,5-10 hr X Secondary,5-10 hr X Grade 5-9
346,Gabriel Peireira,Male,18,Post-Secondary,Secondary,course,5-10 hr,no,no,yes,16,15,16,Math,5-10 hr X Post-Secondary,5-10 hr X Secondary
347,Gabriel Peireira,Male,18,Post-Secondary,Secondary,course,5-10 hr,yes,yes,yes,10,10,9,Math,5-10 hr X Post-Secondary,5-10 hr X Secondary
348,Gabriel Peireira,Female,17,Post-Secondary,Secondary,reputation,5-10 hr,yes,yes,yes,13,15,15,Math,5-10 hr X Post-Secondary,5-10 hr X Secondary
349,Mousinho da Silveira,Male,18,Secondary,Grade 5-9,course,<2 hr,yes,no,yes,11,13,13,Math,<2 hr X Secondary,<2 hr X Grade 5-9
350,Mousinho da Silveira,Male,19,Primary,Primary,home,2-5 hr,no,no,yes,8,7,8,Math,2-5 hr X Primary,2-5 hr X Primary
351,Mousinho da Silveira,Male,17,Secondary,Secondary,course,2-5 hr,yes,yes,yes,13,13,13,Math,2-5 hr X Secondary,2-5 hr X Secondary
352,Mousinho da Silveira,Male,18,Primary,Secondary,course,<2 hr,no,no,no,8,7,8,Math,<2 hr X Primary,<2 hr X Secondary
353,Mousinho da Silveira,Male,19,Primary,Primary,home,<2 hr,yes,no,yes,8,8,8,Math,<2 hr X Primary,<2 hr X Primary
354,Mousinho da Silveira,Male,17,Post-Secondary,Secondary,home,2-5 hr,yes,yes,yes,13,11,11,Math,2-5 hr X Post-Secondary,2-5 hr X Secondary
355,Mousinho da Silveira,Female,18,Secondary,Secondary,course,2-5 hr,yes,no,yes,10,9,9,Math,2-5 hr X Secondary,2-5 hr X Secondary
356,Mousinho da Silveira,Female,17,Post-Secondary,Post-Secondary,other,2-5 hr,yes,yes,yes,12,13,13,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
357,Mousinho da Silveira,Female,17,Secondary,Grade 5-9,reputation,2-5 hr,no,no,yes,12,12,11,Math,2-5 hr X Secondary,2-5 hr X Grade 5-9
358,Mousinho da Silveira,Male,18,Primary,Primary,home,<2 hr,no,no,yes,10,10,10,Math,<2 hr X Primary,<2 hr X Primary
359,Mousinho da Silveira,Female,18,Primary,Primary,course,5-10 hr,no,no,yes,18,16,16,Math,5-10 hr X Primary,5-10 hr X Primary
360,Mousinho da Silveira,Female,18,Primary,Post-Secondary,course,2-5 hr,no,no,yes,13,13,13,Math,2-5 hr X Primary,2-5 hr X Post-Secondary
361,Mousinho da Silveira,Male,18,Primary,Primary,other,2-5 hr,no,no,no,13,12,12,Math,2-5 hr X Primary,2-5 hr X Primary
362,Mousinho da Silveira,Female,18,Secondary,Secondary,other,2-5 hr,yes,no,yes,11,11,10,Math,2-5 hr X Secondary,2-5 hr X Secondary
363,Mousinho da Silveira,Female,17,Post-Secondary,Post-Secondary,course,2-5 hr,yes,yes,yes,16,15,15,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
364,Mousinho da Silveira,Female,17,Primary,Grade 5-9,course,2-5 hr,no,no,yes,12,11,12,Math,2-5 hr X Primary,2-5 hr X Grade 5-9
365,Mousinho da Silveira,Male,18,Primary,Secondary,course,2-5 hr,yes,yes,yes,10,10,10,Math,2-5 hr X Primary,2-5 hr X Secondary
366,Mousinho da Silveira,Male,18,Post-Secondary,Post-Secondary,other,5-10 hr,no,yes,yes,13,13,13,Math,5-10 hr X Post-Secondary,5-10 hr X Post-Secondary
367,Mousinho da Silveira,Female,17,Primary,Primary,reputation,<2 hr,yes,yes,yes,7,6,0,Math,<2 hr X Primary,<2 hr X Primary
368,Mousinho da Silveira,Female,18,Grade 5-9,Secondary,course,<2 hr,yes,yes,yes,11,10,10,Math,<2 hr X Grade 5-9,<2 hr X Secondary
369,Mousinho da Silveira,Female,18,Post-Secondary,Post-Secondary,other,2-5 hr,yes,yes,yes,14,12,11,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
370,Mousinho da Silveira,Female,19,Secondary,Grade 5-9,home,2-5 hr,no,no,yes,7,7,9,Math,2-5 hr X Secondary,2-5 hr X Grade 5-9
371,Mousinho da Silveira,Male,18,Primary,Grade 5-9,other,<2 hr,yes,yes,no,14,12,12,Math,<2 hr X Primary,<2 hr X Grade 5-9
372,Mousinho da Silveira,Female,17,Grade 5-9,Grade 5-9,home,5-10 hr,no,no,yes,13,11,11,Math,5-10 hr X Grade 5-9,5-10 hr X Grade 5-9
373,Mousinho da Silveira,Female,17,Primary,Grade 5-9,course,<2 hr,no,no,yes,6,5,5,Math,<2 hr X Primary,<2 hr X Grade 5-9
374,Mousinho da Silveira,Female,18,Post-Secondary,Post-Secondary,reputation,5-10 hr,no,no,yes,19,18,19,Math,5-10 hr X Post-Secondary,5-10 hr X Post-Secondary
375,Mousinho da Silveira,Female,18,Primary,Primary,home,5-10 hr,no,no,yes,8,8,10,Math,5-10 hr X Primary,5-10 hr X Primary
376,Mousinho da Silveira,Female,20,Post-Secondary,Grade 5-9,course,5-10 hr,yes,yes,yes,15,14,15,Math,5-10 hr X Post-Secondary,5-10 hr X Grade 5-9
377,Mousinho da Silveira,Female,18,Post-Secondary,Post-Secondary,course,2-5 hr,no,yes,yes,8,9,10,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
378,Mousinho da Silveira,Female,18,Secondary,Secondary,home,2-5 hr,no,yes,yes,15,15,15,Math,2-5 hr X Secondary,2-5 hr X Secondary
379,Mousinho da Silveira,Female,17,Secondary,Primary,reputation,2-5 hr,yes,yes,yes,10,10,10,Math,2-5 hr X Secondary,2-5 hr X Primary
380,Mousinho da Silveira,Male,18,Post-Secondary,Post-Secondary,home,2-5 hr,no,yes,yes,15,14,14,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
381,Mousinho da Silveira,Male,18,Grade 5-9,Primary,other,<2 hr,no,no,yes,7,6,7,Math,<2 hr X Grade 5-9,<2 hr X Primary
382,Mousinho da Silveira,Male,17,Grade 5-9,Secondary,home,2-5 hr,no,no,yes,11,11,10,Math,2-5 hr X Grade 5-9,2-5 hr X Secondary
383,Mousinho da Silveira,Male,19,Primary,Primary,other,<2 hr,no,no,yes,6,5,0,Math,<2 hr X Primary,<2 hr X Primary
384,Mousinho da Silveira,Male,18,Post-Secondary,Grade 5-9,home,<2 hr,no,yes,yes,6,5,5,Math,<2 hr X Post-Secondary,<2 hr X Grade 5-9
385,Mousinho da Silveira,Female,18,Grade 5-9,Grade 5-9,other,5-10 hr,no,yes,yes,10,9,10,Math,5-10 hr X Grade 5-9,5-10 hr X Grade 5-9
386,Mousinho da Silveira,Female,18,Post-Secondary,Post-Secondary,reputation,<2 hr,yes,yes,yes,6,5,6,Math,<2 hr X Post-Secondary,<2 hr X Post-Secondary
387,Mousinho da Silveira,Female,19,Grade 5-9,Secondary,course,5-10 hr,no,no,yes,7,5,0,Math,5-10 hr X Grade 5-9,5-10 hr X Secondary
388,Mousinho da Silveira,Female,18,Secondary,Primary,course,2-5 hr,yes,yes,yes,7,9,8,Math,2-5 hr X Secondary,2-5 hr X Primary
389,Mousinho da Silveira,Female,18,Primary,Primary,course,2-5 hr,no,no,yes,6,5,0,Math,2-5 hr X Primary,2-5 hr X Primary
390,Mousinho da Silveira,Male,20,Grade 5-9,Grade 5-9,course,2-5 hr,yes,yes,yes,9,9,9,Math,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
391,Mousinho da Silveira,Male,17,Secondary,Primary,course,<2 hr,no,no,yes,14,16,16,Math,<2 hr X Secondary,<2 hr X Primary
392,Mousinho da Silveira,Male,21,Primary,Primary,course,<2 hr,no,no,yes,10,8,7,Math,<2 hr X Primary,<2 hr X Primary
393,Mousinho da Silveira,Male,18,Secondary,Grade 5-9,course,<2 hr,no,no,yes,11,12,10,Math,<2 hr X Secondary,<2 hr X Grade 5-9
394,Mousinho da Silveira,Male,19,Primary,Primary,course,<2 hr,no,no,yes,8,9,9,Math,<2 hr X Primary,<2 hr X Primary
395,Gabriel Peireira,Female,18,Post-Secondary,Post-Secondary,course,2-5 hr,no,no,yes,5,6,6,Math,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
396,Mousinho da Silveira,Male,19,Primary,Primary,other,<2 hr,no,no,yes,6,5,0,Math,<2 hr X Primary,<2 hr X Primary
397,Gabriel Peireira,Female,18,Post-Secondary,Post-Secondary,course,2-5 hr,no,no,yes,0,11,11,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
398,Gabriel Peireira,Female,17,Primary,Primary,course,2-5 hr,yes,no,yes,9,11,11,Portuguese,2-5 hr X Primary,2-5 hr X Primary
399,Gabriel Peireira,Female,15,Primary,Primary,other,2-5 hr,no,no,yes,12,13,12,Portuguese,2-5 hr X Primary,2-5 hr X Primary
400,Gabriel Peireira,Female,15,Post-Secondary,Grade 5-9,home,5-10 hr,yes,no,yes,14,14,14,Portuguese,5-10 hr X Post-Secondary,5-10 hr X Grade 5-9
401,Gabriel Peireira,Female,16,Secondary,Secondary,home,2-5 hr,yes,no,yes,11,13,13,Portuguese,2-5 hr X Secondary,2-5 hr X Secondary
402,Gabriel Peireira,Male,16,Post-Secondary,Secondary,reputation,2-5 hr,yes,no,yes,12,12,13,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Secondary
403,Gabriel Peireira,Male,16,Grade 5-9,Grade 5-9,home,2-5 hr,no,no,yes,13,12,13,Portuguese,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
404,Gabriel Peireira,Female,17,Post-Secondary,Post-Secondary,home,2-5 hr,yes,no,yes,10,13,13,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
405,Gabriel Peireira,Male,15,Secondary,Grade 5-9,home,2-5 hr,yes,no,yes,15,16,17,Portuguese,2-5 hr X Secondary,2-5 hr X Grade 5-9
406,Gabriel Peireira,Male,15,Secondary,Post-Secondary,home,2-5 hr,yes,no,yes,12,12,13,Portuguese,2-5 hr X Secondary,2-5 hr X Post-Secondary
407,Gabriel Peireira,Female,15,Post-Secondary,Post-Secondary,reputation,2-5 hr,yes,no,yes,14,14,14,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
408,Gabriel Peireira,Female,15,Grade 5-9,Primary,reputation,5-10 hr,yes,no,yes,10,12,13,Portuguese,5-10 hr X Grade 5-9,5-10 hr X Primary
409,Gabriel Peireira,Male,15,Post-Secondary,Post-Secondary,course,<2 hr,yes,no,yes,12,13,12,Portuguese,<2 hr X Post-Secondary,<2 hr X Post-Secondary
410,Gabriel Peireira,Male,15,Post-Secondary,Secondary,course,2-5 hr,yes,no,yes,12,12,13,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Secondary
411,Gabriel Peireira,Male,15,Grade 5-9,Grade 5-9,home,5-10 hr,yes,no,yes,14,14,15,Portuguese,5-10 hr X Grade 5-9,5-10 hr X Grade 5-9
412,Gabriel Peireira,Female,16,Post-Secondary,Post-Secondary,home,<2 hr,yes,no,yes,17,17,17,Portuguese,<2 hr X Post-Secondary,<2 hr X Post-Secondary
413,Gabriel Peireira,Female,16,Post-Secondary,Post-Secondary,reputation,5-10 hr,yes,no,yes,13,13,14,Portuguese,5-10 hr X Post-Secondary,5-10 hr X Post-Secondary
414,Gabriel Peireira,Female,16,Secondary,Secondary,reputation,2-5 hr,yes,no,yes,13,14,14,Portuguese,2-5 hr X Secondary,2-5 hr X Secondary
415,Gabriel Peireira,Male,17,Secondary,Grade 5-9,course,<2 hr,yes,yes,yes,8,8,7,Portuguese,<2 hr X Secondary,<2 hr X Grade 5-9
416,Gabriel Peireira,Male,16,Post-Secondary,Secondary,home,<2 hr,no,no,yes,12,12,12,Portuguese,<2 hr X Post-Secondary,<2 hr X Secondary
417,Gabriel Peireira,Male,15,Post-Secondary,Secondary,reputation,2-5 hr,no,no,yes,12,13,14,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Secondary
418,Gabriel Peireira,Male,15,Post-Secondary,Post-Secondary,other,<2 hr,yes,yes,yes,11,12,12,Portuguese,<2 hr X Post-Secondary,<2 hr X Post-Secondary
419,Gabriel Peireira,Male,16,Post-Secondary,Grade 5-9,course,2-5 hr,no,no,yes,12,13,14,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Grade 5-9
420,Gabriel Peireira,Male,16,Grade 5-9,Grade 5-9,reputation,2-5 hr,yes,no,yes,10,10,10,Portuguese,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
421,Gabriel Peireira,Female,15,Grade 5-9,Post-Secondary,course,5-10 hr,yes,no,yes,10,11,10,Portuguese,5-10 hr X Grade 5-9,5-10 hr X Post-Secondary
422,Gabriel Peireira,Female,16,Grade 5-9,Grade 5-9,home,<2 hr,yes,no,yes,10,11,12,Portuguese,<2 hr X Grade 5-9,<2 hr X Grade 5-9
423,Gabriel Peireira,Male,15,Grade 5-9,Grade 5-9,home,<2 hr,yes,no,yes,11,12,12,Portuguese,<2 hr X Grade 5-9,<2 hr X Grade 5-9
424,Gabriel Peireira,Male,15,Post-Secondary,Grade 5-9,other,<2 hr,no,no,yes,11,11,11,Portuguese,<2 hr X Post-Secondary,<2 hr X Grade 5-9
425,Gabriel Peireira,Male,16,Secondary,Post-Secondary,home,2-5 hr,yes,yes,yes,12,12,13,Portuguese,2-5 hr X Secondary,2-5 hr X Post-Secondary
426,Gabriel Peireira,Male,16,Post-Secondary,Post-Secondary,home,2-5 hr,yes,yes,yes,12,11,12,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
427,Gabriel Peireira,Male,15,Post-Secondary,Post-Secondary,home,2-5 hr,yes,yes,yes,10,11,11,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
428,Gabriel Peireira,Male,15,Post-Secondary,Post-Secondary,reputation,2-5 hr,yes,no,yes,15,15,15,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
429,Gabriel Peireira,Male,15,Post-Secondary,Secondary,course,2-5 hr,yes,no,yes,13,14,15,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Secondary
430,Gabriel Peireira,Male,15,Secondary,Secondary,course,2-5 hr,no,no,yes,13,12,12,Portuguese,2-5 hr X Secondary,2-5 hr X Secondary
431,Gabriel Peireira,Male,16,Secondary,Grade 5-9,home,<2 hr,yes,no,yes,12,12,12,Portuguese,<2 hr X Secondary,<2 hr X Grade 5-9
432,Gabriel Peireira,Female,15,Grade 5-9,Secondary,other,<2 hr,yes,no,yes,11,11,11,Portuguese,<2 hr X Grade 5-9,<2 hr X Secondary
433,Gabriel Peireira,Male,15,Post-Secondary,Secondary,home,5-10 hr,yes,no,yes,14,14,14,Portuguese,5-10 hr X Post-Secondary,5-10 hr X Secondary
434,Gabriel Peireira,Male,16,Post-Secondary,Post-Secondary,reputation,5-10 hr,yes,no,yes,13,13,13,Portuguese,5-10 hr X Post-Secondary,5-10 hr X Post-Secondary
435,Gabriel Peireira,Female,15,Secondary,Post-Secondary,course,5-10 hr,yes,no,yes,11,12,12,Portuguese,5-10 hr X Secondary,5-10 hr X Post-Secondary
436,Gabriel Peireira,Female,15,Grade 5-9,Grade 5-9,reputation,<2 hr,yes,no,yes,14,13,12,Portuguese,<2 hr X Grade 5-9,<2 hr X Grade 5-9
437,Gabriel Peireira,Female,16,Grade 5-9,Grade 5-9,home,2-5 hr,yes,no,yes,11,11,10,Portuguese,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
438,Gabriel Peireira,Male,15,Post-Secondary,Post-Secondary,home,<2 hr,yes,no,yes,10,11,11,Portuguese,<2 hr X Post-Secondary,<2 hr X Post-Secondary
439,Gabriel Peireira,Male,15,Post-Secondary,Post-Secondary,course,2-5 hr,yes,no,yes,14,15,15,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
440,Gabriel Peireira,Male,15,Grade 5-9,Grade 5-9,course,<2 hr,yes,no,yes,9,10,10,Portuguese,<2 hr X Grade 5-9,<2 hr X Grade 5-9
441,Gabriel Peireira,Female,16,Grade 5-9,Grade 5-9,course,2-5 hr,no,no,yes,10,11,11,Portuguese,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
442,Gabriel Peireira,Female,15,Post-Secondary,Secondary,course,2-5 hr,yes,yes,yes,10,11,11,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Secondary
443,Gabriel Peireira,Female,16,Secondary,Secondary,home,2-5 hr,yes,no,yes,13,12,13,Portuguese,2-5 hr X Secondary,2-5 hr X Secondary
444,Gabriel Peireira,Male,16,Post-Secondary,Secondary,reputation,>10 hr,no,no,yes,17,17,17,Portuguese,>10 hr X Post-Secondary,>10 hr X Secondary
445,Gabriel Peireira,Male,15,Post-Secondary,Grade 5-9,home,2-5 hr,yes,no,yes,11,12,13,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Grade 5-9
446,Gabriel Peireira,Female,15,Post-Secondary,Post-Secondary,other,2-5 hr,yes,no,yes,13,12,12,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
447,Gabriel Peireira,Female,16,Grade 5-9,Grade 5-9,course,2-5 hr,yes,no,yes,14,13,13,Portuguese,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
448,Gabriel Peireira,Female,15,Post-Secondary,Grade 5-9,other,2-5 hr,yes,no,yes,16,14,16,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Grade 5-9
449,Gabriel Peireira,Male,15,Post-Secondary,Grade 5-9,other,<2 hr,no,no,yes,10,9,9,Portuguese,<2 hr X Post-Secondary,<2 hr X Grade 5-9
450,Gabriel Peireira,Female,15,Post-Secondary,Post-Secondary,course,<2 hr,yes,no,yes,13,12,12,Portuguese,<2 hr X Post-Secondary,<2 hr X Post-Secondary
451,Gabriel Peireira,Female,15,Secondary,Secondary,other,<2 hr,no,no,yes,13,12,13,Portuguese,<2 hr X Secondary,<2 hr X Secondary
452,Gabriel Peireira,Female,16,Grade 5-9,Primary,other,2-5 hr,no,no,yes,12,13,12,Portuguese,2-5 hr X Grade 5-9,2-5 hr X Primary
453,Gabriel Peireira,Female,15,Post-Secondary,Secondary,reputation,2-5 hr,yes,no,yes,15,14,15,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Secondary
454,Gabriel Peireira,Male,15,Post-Secondary,Post-Secondary,reputation,2-5 hr,yes,no,yes,15,15,16,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
455,Gabriel Peireira,Male,15,Primary,Grade 5-9,home,2-5 hr,yes,no,yes,14,13,14,Portuguese,2-5 hr X Primary,2-5 hr X Grade 5-9
456,Gabriel Peireira,Female,16,Post-Secondary,Grade 5-9,course,2-5 hr,yes,yes,yes,16,15,16,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Grade 5-9
457,Gabriel Peireira,Female,16,Post-Secondary,Post-Secondary,other,2-5 hr,yes,no,yes,17,16,16,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
458,Gabriel Peireira,Female,16,Primary,Primary,course,<2 hr,yes,no,yes,10,10,16,Portuguese,<2 hr X Primary,<2 hr X Primary
459,Gabriel Peireira,Female,16,Primary,Grade 5-9,reputation,2-5 hr,no,no,yes,13,13,10,Portuguese,2-5 hr X Primary,2-5 hr X Grade 5-9
460,Gabriel Peireira,Female,16,Post-Secondary,Secondary,home,5-10 hr,yes,no,yes,14,13,13,Portuguese,5-10 hr X Post-Secondary,5-10 hr X Secondary
461,Gabriel Peireira,Female,15,Post-Secondary,Secondary,reputation,2-5 hr,no,no,yes,13,12,12,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Secondary
462,Gabriel Peireira,Female,16,Post-Secondary,Secondary,course,2-5 hr,yes,no,yes,16,15,16,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Secondary
463,Gabriel Peireira,Male,15,Post-Secondary,Post-Secondary,reputation,>10 hr,yes,no,yes,11,12,12,Portuguese,>10 hr X Post-Secondary,>10 hr X Post-Secondary
464,Gabriel Peireira,Female,16,Secondary,Primary,course,>10 hr,yes,no,yes,10,9,10,Portuguese,>10 hr X Secondary,>10 hr X Primary
465,Gabriel Peireira,Female,15,Grade 5-9,Grade 5-9,reputation,2-5 hr,yes,no,yes,11,10,11,Portuguese,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
466,Gabriel Peireira,Female,15,Secondary,Primary,reputation,>10 hr,yes,no,yes,15,15,15,Portuguese,>10 hr X Secondary,>10 hr X Primary
467,Gabriel Peireira,Male,16,Secondary,Primary,reputation,>10 hr,yes,no,yes,13,11,11,Portuguese,>10 hr X Secondary,>10 hr X Primary
468,Gabriel Peireira,Male,15,Post-Secondary,Grade 5-9,course,>10 hr,no,no,yes,11,9,10,Portuguese,>10 hr X Post-Secondary,>10 hr X Grade 5-9
469,Gabriel Peireira,Female,15,Primary,Primary,reputation,2-5 hr,yes,no,yes,13,11,11,Portuguese,2-5 hr X Primary,2-5 hr X Primary
470,Gabriel Peireira,Male,16,Secondary,Primary,reputation,<2 hr,no,no,yes,13,13,14,Portuguese,<2 hr X Secondary,<2 hr X Primary
471,Gabriel Peireira,Female,16,Secondary,Secondary,home,2-5 hr,yes,no,yes,11,11,11,Portuguese,2-5 hr X Secondary,2-5 hr X Secondary
472,Gabriel Peireira,Male,15,Post-Secondary,Secondary,home,2-5 hr,yes,no,yes,11,11,11,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Secondary
473,Gabriel Peireira,Male,15,Post-Secondary,None,course,>10 hr,no,no,yes,12,11,11,Portuguese,>10 hr X Post-Secondary,>10 hr X None
474,Gabriel Peireira,Female,16,Grade 5-9,Grade 5-9,reputation,>10 hr,no,no,yes,13,13,13,Portuguese,>10 hr X Grade 5-9,>10 hr X Grade 5-9
475,Gabriel Peireira,Male,17,Grade 5-9,Primary,home,<2 hr,yes,no,no,9,9,10,Portuguese,<2 hr X Grade 5-9,<2 hr X Primary
476,Gabriel Peireira,Female,16,Secondary,Post-Secondary,course,2-5 hr,yes,no,yes,12,11,11,Portuguese,2-5 hr X Secondary,2-5 hr X Post-Secondary
477,Gabriel Peireira,Male,15,Grade 5-9,Secondary,course,<2 hr,yes,no,yes,11,11,12,Portuguese,<2 hr X Grade 5-9,<2 hr X Secondary
478,Gabriel Peireira,Male,15,Grade 5-9,Secondary,home,5-10 hr,no,no,yes,10,9,9,Portuguese,5-10 hr X Grade 5-9,5-10 hr X Secondary
479,Gabriel Peireira,Female,15,Secondary,Grade 5-9,reputation,2-5 hr,yes,no,yes,12,11,11,Portuguese,2-5 hr X Secondary,2-5 hr X Grade 5-9
480,Gabriel Peireira,Male,15,Grade 5-9,Grade 5-9,home,2-5 hr,no,yes,yes,13,12,13,Portuguese,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
481,Gabriel Peireira,Female,15,Primary,Primary,home,2-5 hr,yes,no,yes,13,12,12,Portuguese,2-5 hr X Primary,2-5 hr X Primary
482,Gabriel Peireira,Female,15,Post-Secondary,Post-Secondary,reputation,2-5 hr,no,no,yes,12,11,12,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
483,Gabriel Peireira,Female,16,Grade 5-9,Grade 5-9,course,2-5 hr,yes,no,yes,13,11,11,Portuguese,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
484,Gabriel Peireira,Female,15,Post-Secondary,Grade 5-9,reputation,5-10 hr,yes,no,yes,15,15,15,Portuguese,5-10 hr X Post-Secondary,5-10 hr X Grade 5-9
485,Gabriel Peireira,Male,16,Grade 5-9,Grade 5-9,reputation,2-5 hr,no,no,yes,12,10,11,Portuguese,2-5 hr X Grade 5-9,2-5 hr X Grade 5-9
486,Gabriel Peireira,Male,16,Post-Secondary,Post-Secondary,reputation,2-5 hr,yes,no,yes,9,9,10,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Post-Secondary
487,Gabriel Peireira,Female,16,Secondary,Secondary,home,5-10 hr,yes,no,yes,9,11,11,Portuguese,5-10 hr X Secondary,5-10 hr X Secondary
488,Gabriel Peireira,Female,15,Post-Secondary,Secondary,reputation,<2 hr,no,no,yes,14,13,13,Portuguese,<2 hr X Post-Secondary,<2 hr X Secondary
489,Gabriel Peireira,Female,16,Secondary,Primary,home,2-5 hr,yes,no,yes,12,13,12,Portuguese,2-5 hr X Secondary,2-5 hr X Primary
490,Gabriel Peireira,Female,16,Post-Secondary,Grade 5-9,home,2-5 hr,yes,no,yes,13,14,14,Portuguese,2-5 hr X Post-Secondary,2-5 hr X Grade 5-9
491,Gabriel Peireira,Male,15,Grade 5-9,Grade 5-9,reputation,>10 hr,yes,no,yes,11,12,12,Portuguese,>10 hr X Grade 5-9,>10 hr X Grade 5-9
492,Gabriel Peireira,Female,15,Primary,Primary,home,>10 hr,yes,yes,yes,13,13,13,Portuguese,>10 hr X Primary,>10 hr X Primary
493,Gabriel Peireira,Male,16,Post-Secondary,Secondary,reputation,<2 hr,yes,yes,yes,9,11,11,Portuguese,<2 hr X Post-Secondary,<2 hr X Secondary
494,Gabriel Peireira,Female,16,Grade 5-9,Primary,course,2-5 hr,yes,no,yes,13,12,12,Portuguese,2-5 hr X Grade 5-9,2-5 hr X Primary
495,Gabriel Peireira,Female,16,Post-Secondary,Post-Secondary,reputation,<2 hr,no,no,yes,12,13,13,Portuguese,<2 hr X Post-Secondary,<2 hr X Post-Secondary
496,Gabriel Peireira,Female,16,Post-Secondary,Secondary,course,5-10 hr,yes,no,yes,12,13,13,Portuguese,5-10 hr X Post-Secondary,5-10 hr X Secondary
497,Gabriel Peireira,Male,16,Post-Secondary,Post-Secondary,other,<2 hr,yes,no,yes,9,9,8,Portuguese,<2 hr X Post-Secondary,<2 hr X Post-Secondary
498,Gabriel Peireira,Male,16,Post-Secondary,Post-Secondary,other,5-10 hr,yes,no,yes,16,16,16,Portuguese,5-10 hr X Post-Secondary,5-10 hr X Post-Secondary
